# docs/examples/exp01.yml experiment orders log
# direction : buy=0, sell=1
# direction;price;volume;agent
0;16.26;31;"<Agent 139632889598824>"
0;503.78;438;"<Agent 139632888629440>"
1;588.35;471;"<Agent 139632891744624>"
0;547.92;351;"<Agent 139632890774448>"
0;745.90;572;"<Agent 139632891406384>"
0;307.85;985;"<Agent 139632889204888>"
0;981.21;195;"<Agent 139632889723216>"
0;739.18;552;"<Agent 139632889919464>"
1;822.49;59;"<Agent 139632891623544>"
1;304.53;709;"<Agent 139632889280344>"
0;793.01;509;"<Agent 139632891210424>"
1;681.06;405;"<Agent 139632890238304>"
0;895.73;727;"<Agent 139632891828560>"
1;624.53;766;"<Agent 139632890355512>"
0;366.09;737;"<Agent 139632890633320>"
0;6.08;683;"<Agent 139632891705032>"
1;510.31;412;"<Agent 139632889259792>"
0;155.53;170;"<Agent 139632891744984>"
0;578.20;10;"<Agent 139632890413424>"
1;781.97;825;"<Agent 139632889836104>"
